ID,Area,User Story,Expected Behaviour,Phase2 Test Result,Issues Found,Severity,Phase3 Fix,Phase4 Retest,Status
F01,Layout,"As a first-time visitor to / or /explore, I want a short intro so I understand what Orbital is.","Base layout auto-opens IntroOverlay once (only on / and /explore), remembers dismissal in localStorage (fa_intro_seen), so returning visitors go straight to the data.",PASS (traced + build),None,-,-,,Verified
F02,Layout,"As any visitor, I want consistent fonts and a country drawer available everywhere.","Base.astro loads Space Grotesk/Inter/JetBrains Mono, mounts IntroOverlay + CountryDetailDrawer once globally so any island can open them.",PASS,None,-,-,,Verified
F03,Layout,"As a visitor on the globe/map pages, I want the page locked to the viewport (no scroll).","fullscreen prop applies h-screen overflow-hidden to body on / and /map.",PASS,None,-,-,,Verified
F04,Nav,"As a user, I want to switch between Globe and List while keeping my filters.","SiteNav renders a Globe/List tab toggle; each href carries the live filter query string so filters persist across views.",PASS,None,-,-,,Verified
F05,Nav,"As a user not on the globe, I want a Countries link.","SiteNav shows the Countries link on every surface except current='globe'.",PASS,None,-,-,,Verified
F06,Nav,"As a user, I want an About control to reopen the intro.","SiteNav About button calls openIntro() to show the IntroOverlay dialog.",PASS,None,-,-,,Verified
F07,Nav,"As a user, the active view/section should be visually indicated and accessible.","Active tab gets aria-selected/aria-current and gradient styling.",PASS,None,-,-,,Verified
F08,Globe,"As a desktop visitor to /, I want a 3D globe of every program filling the viewport.","GlobeView renders globe.gl sampled into an ASCII layer; a pin per program; fills 100dvh.",PASS (build renders island),None,-,-,,Verified
F09,Globe,"As a visitor, I want a boot/loading sequence while the globe initializes.","BootSequence types terminal lines incl. live count for ~2.4s then fades; respects prefers-reduced-motion.",PASS,None,-,-,,Verified
F10,Globe,"As a visitor, I want the globe to auto-rotate and to toggle it.","Auto-rotate on by default (off if reduced-motion); rotate button toggles and reflects pressed state.",PASS,None,-,-,,Verified
F11,Globe,"As a visitor, I want to reset the view.","Reset clears selection, flies to default POV, re-enables auto-rotate, reseeds rings.",PARTIAL,"reset() forces autoRotate=true even when prefers-reduced-motion is set, contradicting the reduced-motion default.",Low (a11y),"reset() now only re-enables auto-rotate when not prefers-reduced-motion.",PASS,Fixed
F12,Globe,"As a visitor, I want to drag to rotate and zoom with wheel/pinch.","Drag rotate; custom wheel zoom on fine pointers; native pinch on coarse pointers; zoom clamped 185-560.",PASS,None,-,-,,Verified
F13,Globe,"As a visitor, I want to click a program pin to see its details and fly there.","Clicking a pin opens the orbit-overlay card, stops rotation, flies camera to the program.",PASS,None,-,-,,Verified
F14,Globe,"As a visitor, I want to click a country to open its ecosystem profile.","Clicking a country polygon with a profile opens the CountryDetailDrawer; suppressed 400ms after a marker press.",PASS,None,-,-,,Verified
F15,Globe,"As a visitor, I want a country-name tooltip following my cursor.","onPolygonHover shows the geo name in a cursor-pinned tooltip with clickable hint.",PASS,None,-,-,,Verified
F16,Globe,"As a visitor, I want dense cities collapsed into a clickable minimap marker.","Regions with >=3 programs show one off-coast city marker with a count; click opens its minimap and flies there.",PASS,None,-,-,,Verified
F17,Globe,"As a visitor, I want a round city minimap dock (Leaflet) for dense cities.","Minimap dock builds active city's Leaflet map lazily, fits bounds, tears down on close; empty-state for empty clusters.",PASS,None,-,-,,Verified
F18,Globe,"As a visitor, I want a status legend I can toggle.","Legend button toggles a legend listing STATUS_ORDER colors+labels.",PASS,None,-,-,,Verified
F19,Globe,"As a visitor, I want a slide-in programs panel with search/filter/list.","Panel: SiteNav, title, typewriter tagline, FilterSidebar, count, scrollable list; list click opens detail + flies; closes panel on mobile.",PASS,None,-,-,,Verified
F20,Globe,"As a mobile visitor, I want a clear entry into the programs list.","'Enter the orbit' CTA shown at bottom on <=760px.",PASS,None,-,-,,Verified
F21,Globe,"As a visitor without WebGL, I want a list-view fallback.","hasWebGL() check; on failure shows fallback with a list-view link preserving the query string.",PASS,None,-,-,,Verified
F22,Globe,"As a mobile visitor, I should not be blocked on WebGL.","README/comment claim small screens redirect to List.",FAIL (doc mismatch),"No small-screen redirect exists in GlobeView/index.astro; globe renders on mobile (works via touch + 'Enter the orbit'). The redirect claim in README/llms.txt/index comment is inaccurate.",Low,"Corrected the stale claim in README/llms.txt (mobile gets the globe + list CTA, not a redirect).",PASS,Fixed
F23,Globe,"As a visitor, I want pins to reflect live filter state.","globePins recompute from shown on filter change.",PASS,None,-,-,,Verified
F24,Filters,"As a user, I want to filter by living/working model with live counts.","Model tabs (All/Co-living/Co-working/Both); counts reflect country selection; toggling a selected model clears it.",PASS,None,-,-,,Verified
F25,Filters,"As a user, I want free-text search across name/city/country/focus/operator/type.","Search updates filters.q; passes() matches lowercased haystack.",PASS,None,-,-,,Verified
F26,Filters,"As a user, I want a typeahead multi-country picker with flags.","CountryMultiSelect: type to suggest, keyboard nav, chips with remove, flags.",PASS,None,-,-,,Verified
F27,Filters,"As a user who picked one country with a profile, I want a quick link to it.","Single selected profile country shows a 'View <country>' drawer button.",PASS,None,-,-,,Verified
F28,Filters,"As a dashboard user, I want status chips with counts.","Status chips for statuses in the current model+country slice; toggle to filter; hidden on map/globe sidebars.",PASS,None,-,-,,Verified
F29,Filters,"As a user, I want to copy a link to my exact filtered view.","Copy-link writes location.href and shows a toast.",PASS,None,-,-,,Verified
F30,Filters,"As an agent/user, I want a quick link to the JSON API from the dashboard filters.","'{ } API' link to /api/programs.json (dashboard variant only).",PASS,None,-,-,,Verified
F31,Filters,"As a user, my filters should sync to the URL and hydrate from it.","Store mirrors to URL via replaceState; hydrates once; legacy single ?country still parses; removed params ignored.",PASS,None,-,-,,Verified
F32,List,"As a user on /explore, I want trigger chips that apply filter presets.","FounderTriggers (apply) applies a preset in place; active chip highlighted on match.",PASS,None,-,-,,Verified
F33,List,"As a user, I want a result count and a responsive card grid.","ExploreResults shows 'N of M' (aria-live) and a 1/2/3-col ProgramCard grid sorted by defaultSort.",PASS,None,-,-,,Verified
F34,List,"As a user with no matches, I want a helpful empty state.","Empty state card with loosen-filter copy + 'Add a house' link to /submit.",PASS,None,-,-,,Verified
F35,Card,"As a user, I want each program card to show what's known at a glance.","Logo, name (links to /programs/slug), type/city/country, status badge, save button, highlight, badges, verified date.",PASS,None,-,-,,Verified
F36,Card,"As a user, I want to view details or apply/visit from a card.","'View details' opens drawer; CTA 'Apply' (applyUrl) or 'Visit' (url) in a new tab.",PASS,None,-,-,,Verified
F37,Drawer,"As a user, I want a detailed, accessible program drawer.","aria-modal dialog; focus to close on open; Esc + scrim close.",PASS,None,-,-,,Verified
F38,Drawer,"As a user, I want clear CTAs in the drawer.","Apply/Visit (+ separate Visit site when applyUrl), Open full page, Report update deep link.",PASS,None,-,-,,Verified
F39,Drawer,"As a user, I want honest quick facts that say Unknown when unverified.","12 facts; Unknown rendered italic.",PASS,None,-,-,,Verified
F40,Drawer,"As a user, I want Best-for, Notes and Sources with a freshness caveat.","Best for, Notes, Sources (official + sourceUrls), last-checked caveat.",PASS,None,-,-,,Verified
F41,ProgramPage,"As a user/crawler, I want a full static page per program with schema.org.","/programs/[slug] renders badges, CTAs, quick facts, what-you-get, notes, application window, sources w/ provenance, related; emits JSON-LD.",PASS (118 pages built),None,-,-,,Verified
F42,ProgramPage,"As a user, I want application-window detail when available.","Window data shows derived status badge + per-window cards.",PASS,None,-,-,,Verified
F43,ProgramPage,"As a user, I want to save and report updates from the page.","SaveButton (md) + Report update link; city links to /cities/slug.",PASS,None,-,-,,Verified
F44,Saved,"As a user, I want to bookmark programs stored only on my device.","SaveButton toggles slug in localStorage; aria-pressed; star fills; syncs across tabs.",PASS,None,-,-,,Verified
